VDA Data Log,,,,,,,,,,,,,
Aug-12, 2018 12:26:53 PM,,,,,,,,,,,,
Time (s),Engine Coolant Temperature (?C),Catalyst Temperature Bank 1 - Sensor 1 (?C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (?C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (?C),Absolute Throttle Position (%)
105.4,87,638.3,69,100,78,23.2,24,27.3,2375,3.7,12.889,27,8.7
108.5,87,633.4,69,99,79,25.9,24,29.7,2375,3.5,12.959,27,8.7
111.6,87,626.9,69,100,80,13.6,24,17.9,2351,2.1,12.96,27,4.2
114.7,87,614.7,69,101,77,18,24,21.4,2314,2.5,12.96,27,7.3
117.8,86,608.8,69,99,76,38.5,24,45.1,2310,7.7,12.96,27,12.8
120.9,86,608,68.9,99,75,46.3,24,53.8,2339,9.7,12.96,27,14.7
124,86,608,68.6,100,75,48.6,24,56.5,2318,10.2,12.898,28,15.6
127.1,86,608,68.6,100,75,50.5,24,58.3,2300,10.5,13.04,28,16.2
130.2,86,608,68.6,100,74,57.9,24,66.7,2272,13.9,12.96,28,18.5
133.3,86,608,68.6,100,72,62.7,24,71.1,2201,15.6,12.96,28,19.8
136.4,86,608,68.6,100,70,67.5,24,76.7,2180,18.4,12.96,28,22.5
139.5,86,610.2,68.6,100,68,68.7,24,77.8,2208,19.2,12.96,28,23.5
142.6,86,612.7,68.6,100,67,70.5,24,79.1,2280,21.4,12.96,28,26.2
145.7,87,616,68.6,100,67,71.4,24,81.3,2344,21.9,13.03,27,26.7
148.8,87,620,68.2,100,67,70.6,24,80,2283,21.8,13.012,27,26.1
151.9,87,623.2,68.2,101,68,73.1,24,81.7,2337,25.1,12.97,27,30.5
155,87,624.8,68.2,101,68,74.5,24,83.3,2589,27,12.992,27,32.5
158.1,87,628,68.2,101,71,73.3,24,82.3,2588,24.6,12.96,27,30.1
161.2,87,632,68.2,101,73,72.4,24,82.6,2518,23.4,12.96,27,28.1
164.3,87,632,68.2,100,75,65.3,24,75.5,2304,17.6,13.038,27,23.1
167.4,87,632,68.2,100,77,66.6,24,75.6,2345,17.8,12.96,27,22.8
170.5,87,632,68.2,100,77,67,24,77.3,2360,18.8,12.96,27,23.4
173.6,87,636,68.2,100,77,66.7,24,77.4,2340,19.2,12.96,27,23.9
176.7,87,636,67.9,100,76,67.7,24,77.8,2325,19.5,12.96,27,24.2
179.8,87,636,67.8,100,75,64,24,74.5,2310,17.8,13.026,27,22.6
182.9,87,632,67.8,100,75,63,24,71,2280,16.2,12.924,27,20.6
186,87,632,68,100,73,67.2,24,77.2,2246,19.6,13.029,27,23.6
189.1,87,632,68.2,100,72,69.7,24,78.3,2244,20.5,12.96,27,25.3
192.2,87,635.4,67.9,100,72,70.3,24,80.6,2314,21.6,12.944,27,25.9
195.3,87,636,67.9,100,72,71.6,24,80.9,2398,22,13.012,27,27.2
198.4,87,636,67.8,100,73,72.9,24,82.8,2470,23,13.017,27,28.2
201.5,87,640,68.2,101,73,72.5,24,82.6,2449,22.8,12.96,27,28.2
204.6,87,640,68.2,101,73,71.4,24,81.6,2435,22.6,12.96,27,27.5
207.7,87,642.4,68.2,101,75,72.2,24,81.8,2435,22.4,12.96,27,27.5
210.8,87,644,68.2,101,76,71.5,24,81.5,2458,21.2,12.96,27,26.9
213.9,87,644,68.2,100,77,64.7,24,72,2332,18.3,12.96,27,23.7
217,87,635.5,68.2,101,75,16,24,22.3,2239,0.8,13.04,27,5.1
220.1,87,629.1,68.6,100,73,24.4,24,26.3,2159,2.7,12.97,27,8.3
223.2,87,624,68.6,99,71,45.6,24,52.6,2139,9.2,12.938,27,13.5
226.3,87,624,68.6,99,70,52.4,24,61.4,2120,11.1,13.027,27,15
229.4,87,620,68.6,100,70,60.4,24,69.4,2125,14.5,12.96,27,18.8
232.5,87,620,68.2,100,70,63.5,24,72.2,2141,15.9,12.96,27,20
235.6,87,620,68.2,100,71,64.5,24,72.9,2168,16.5,12.96,27,20.9
238.7,87,619.7,68.2,100,72,25,24,42.5,2164,10.8,13,27,10.8
241.8,87,616,68.2,99,71,46.3,24,52.9,2184,9.2,12.96,27,13.8
244.9,87,612,68.1,99,72,51.5,24,59.2,2233,10.7,12.96,27,13.1
248,87,608.9,67.8,100,73,17.9,24,22.8,2194,2.7,13.033,27,7.9
251.1,87,594.1,68.2,101,72,10.2,24,12.2,2132,0.4,13.009,27,4.7
254.2,87,578.6,68.5,101,70,10.6,24,12.6,2095,0.1,13.024,27,4.3
257.3,86,573.1,68.6,101,68,10.5,24,11.8,2074,0.1,12.96,27,4.5
260.4,86,568,68.6,100,65,21.3,24,24.3,1963,3.1,12.904,27,7.8
263.5,86,564,69,101,62,41.8,24,44.9,1945,7.8,12.96,27,10.4
266.6,86,568,69,101,61,62,24,69.6,1979,14.2,12.96,27,18.3
269.7,86,570.8,68.7,101,60,59.2,24,68,1846,13.7,12.965,27,17.3
272.8,86,573.1,68.6,100,60,62.6,24,71.5,1919,14.8,12.988,27,18.2
275.9,86,576,68.6,100,59,63.6,24,72.8,1916,15.5,12.96,27,19.6
279,86,581.6,68.2,100,58,67.6,24,77,1983,18.6,13.021,27,23.6
282.1,87,584.3,68.2,100,58,70.9,24,81.8,2114,21,12.96,27,25.8
285.2,87,590.5,68.2,100,60,70.9,24,81.9,2165,21.2,12.804,27,25.5
288.3,87,596.5,68.2,100,61,71.4,24,81.6,2193,21.7,12.962,27,26
291.4,87,602.9,67.9,100,63,71.4,24,81.9,2285,22.5,12.96,27,27
294.5,87,608.8,67.8,100,65,72.2,24,82.6,2321,22.9,12.96,27,27.9
297.6,87,614.4,67.8,100,66,74,24,85.4,2465,25.1,12.957,27,30.2
300.7,87,616.5,67.8,100,68,73.8,24,82.4,2537,25.5,12.877,27,28.9
303.8,87,620,67.8,100,70,72.2,24,83.2,2251,23.3,13.029,27,27.4
306.9,87,620,67.8,100,71,60,24,80.6,2194,21.1,12.96,27,22.2
310,87,611.9,68.2,101,71,19.1,24,26.7,2117,4.5,13.04,27,6.4
313.1,87,608,68.2,101,71,59.9,24,71.3,2162,16.1,12.969,27,20.1
316.2,87,608.5,68.2,100,71,66.7,24,77,2154,18.1,12.96,27,23.1
319.3,87,612,68.2,100,71,69.8,24,79.5,2186,20.1,12.962,28,25.1
322.4,87,613.4,68.1,100,71,70.1,24,81.2,2273,22.1,13.04,28,26.1
325.5,87,616,67.8,100,72,73.3,24,84.3,2452,23.9,13.014,28,28.9
328.6,87,622.3,67.8,100,72,72.9,24,81.9,2628,26.3,13.037,28,31.4
331.7,87,624,67.8,100,72,70,24,80.3,2307,23,13,28,28.7
334.8,87,624,67.8,100,72,69.9,24,79.5,2206,20.4,13.025,28,24.9
337.9,87,624.8,67.8,100,71,68.2,24,78.2,2177,19.6,12.895,28,24.1
341,87,624.2,67.8,101,71,44.7,24,58,2138,13,13.018,28,18.7
344.1,87,622.1,67.8,101,69,47.6,24,55.2,2100,10.6,12.895,28,14
347.2,87,620,67.8,101,68,54.4,24,62,2087,12.5,13.009,28,16.7
350.3,87,617.5,67.8,101,68,53,24,60.5,2098,11.8,13.038,28,16.7
353.4,87,616,67.8,99,70,55.4,24,64.2,2096,12.7,12.96,28,16.6
356.5,87,616,68.2,100,70,57.2,24,66.3,2116,13,12.96,28,17.9
359.6,87,616,68.2,100,71,56.4,24,65.4,2154,13,13.011,28,17.5
362.7,87,612.5,68.2,101,73,54.4,24,62.6,2203,12.8,12.98,28,17.6
365.8,87,612,68.2,101,75,53.5,24,60.6,2263,12.9,12.972,28,17.3
368.9,87,612,67.8,101,76,51,24,58.2,2306,11.8,13.013,28,16.5
372,87,607.1,67.9,101,77,30.3,24,18.5,2312,2.1,12.96,28,9.6
375.1,87,588.5,68.2,101,75,11.5,24,12.7,2231,0,12.96,28,5.1
378.2,87,578.3,68.6,101,73,12.3,24,12.5,2200,0.7,13.024,28,5.4
381.3,86,568.2,68.6,101,72,13,24,14.4,2156,0.2,12.929,28,4.7
384.4,86,558,68.6,101,71,10.4,24,11.9,2134,0.4,12.973,28,4.7
387.5,86,552.4,68.6,100,70,13.5,24,16.3,2106,0.9,12.96,28,4.6
390.6,85,549.5,68.6,99,70,43,24,56.2,2341,8.9,12.96,28,13.3
393.7,85,555.5,68.6,100,71,53.6,24,61.6,2243,11.7,12.96,28,16.9
396.8,85,558,68.6,100,70,59,24,67.2,2174,13.6,12.96,28,18
399.9,85,560.6,68.6,100,70,59.6,24,67.9,2119,13.9,12.957,28,18.5
403,85,564,68.6,100,68,63.2,24,72.6,2112,16.2,13.016,28,20.5
406.1,86,570,68.6,100,68,66.7,24,76.3,2125,18.2,13.027,28,22.7
409.2,86,572.3,68.6,100,68,68.3,24,78,2175,19,12.96,28,23.5
412.3,87,576,68.6,100,68,67.9,24,77.4,2162,18.9,13.04,27,23.5
415.4,87,581.3,68.3,100,70,69,24,78,2162,18.9,12.985,27,23.5
418.5,87,584,68.6,100,70,68.2,24,78.4,2180,19.2,12.96,27,23.5
421.6,87,588,68.2,100,71,69,24,78.8,2187,19.5,12.96,27,24.4
424.7,87,591.1,68.2,100,71,69,24,79,2208,20.1,12.96,27,24.7
427.8,87,596,68.2,100,71,69.8,24,79.9,2200,20.4,12.96,27,24.9
430.9,87,599.4,68.2,100,72,68.2,24,79.1,2237,20.4,12.973,27,25.1
434,87,601.3,68.2,100,72,69,24,80.3,2292,21,13.04,27,25.5
437.1,87,604,67.8,100,73,69.8,24,79.6,2300,21.2,12.985,27,25.9
440.2,87,608,67.8,100,73,69.2,24,79.2,2287,20.8,12.832,27,25.9
443.3,87,608,67.5,100,74,69.8,24,80.1,2300,21,13.011,27,25.9
446.4,87,612,67.5,100,75,69.8,24,80.4,2350,21.2,12.978,27,25.9
449.5,87,616,67.5,100,75,69.2,24,79.7,2317,20.9,12.96,27,25.1
452.6,87,616,67.5,100,76,58.3,24,65.1,2305,11.1,13.018,27,18.3
455.7,87,616,67.5,100,77,61.9,24,70.1,2357,15.6,13.011,27,20.2
458.8,87,616,67.2,99,78,34.8,24,44.2,2332,2.1,13.04,27,7
461.9,87,610.8,67.1,99,76,24.2,24,30.8,2267,4.8,12.983,27,8
465,87,608,67.4,99,74,35.5,24,42.3,2225,6.6,12.96,27,11.1
468.1,87,606.1,67.1,99,73,47.6,24,58.8,2212,10.7,12.96,28,15.2
471.2,87,604,67.1,100,73,55.1,24,62.9,2225,12.3,12.96,28,17.5
474.3,87,604,67.1,100,73,51.8,24,60.6,2224,11.4,13.026,28,16
477.4,87,604,67.1,99,73,49.1,24,56.5,2229,10.6,12.999,28,15.4
480.5,87,604,67.3,101,73,49.7,24,56.2,2239,11,12.884,28,15.7
483.6,87,604,67.5,101,74,51.8,24,58.2,2271,12,12.96,28,16.6
486.7,87,604,67.5,101,76,51.8,24,59.6,2308,12.4,12.96,28,17.3
489.8,87,604,67.7,100,77,51.6,24,59.2,2355,12.2,13.025,28,14.9
492.9,87,604,67.8,100,77,54.2,24,61.5,2373,12.2,12.96,28,16.9
496,87,604,67.8,100,78,54.1,24,62.3,2379,12.5,13.031,28,17.9
499.1,87,604,67.8,100,78,54.1,24,62.6,2407,12.3,12.864,28,17.1
502.2,87,607.1,67.7,100,78,52.5,24,59.9,2387,10.7,12.96,28,16.9
505.3,87,604,67.8,99,78,14.8,24,18,2324,2.2,13.013,28,8.6
508.4,87,600.7,67.8,100,77,43.6,24,49.8,2369,9.1,12.982,28,13.4
511.5,87,602,67.8,100,77,60.3,24,69,2448,15.2,12.967,28,20.3
514.6,87,604,67.8,100,77,63.2,24,71.7,2417,15.9,13.023,28,21.2
517.7,86,606.4,67.8,100,77,57.2,24,68.2,2405,15.6,12.963,28,19.7
520.8,86,608,67.8,99,77,49.3,24,56.2,2362,10.1,13.009,28,15.1
523.9,86,608,67.8,100,77,52,24,60,2364,11.8,12.96,28,16.7
527,86,608,67.8,100,77,55.7,24,63.2,2375,13,12.993,28,17.6
530.1,86,608,67.8,100,77,57.3,24,65.3,2383,13.8,13.031,28,18.7
533.2,86,608,67.8,100,77,58,24,66.7,2385,14.1,12.96,28,19
536.3,86,608,67.8,100,76,59.3,24,68,2331,14.5,12.987,28,19.5
539.4,86,612,67.5,100,75,59.6,24,68.7,2284,14.9,12.969,28,19.5
542.5,86,612,67.5,100,73,59.6,24,69,2242,14.6,12.995,28,19.4
545.6,86,612,67.5,100,73,60.4,24,68.7,2240,14.9,12.96,28,19.2
548.7,86,612,67.5,100,75,59.6,24,68.1,2269,14.9,12.96,28,19.3
551.8,86,612,67.5,100,75,65.2,24,75,2298,18.3,12.81,28,22.9
554.9,86,616,67.5,100,75,67.6,24,76.5,2287,18.8,12.96,27,23.5
558,86,616,67.5,100,75,67.3,24,75.7,2300,18.8,13.03,27,23.5
561.1,86,616,67.5,100,76,67.3,24,76.2,2300,18.8,13.04,27,23.5
564.2,86,620,67.5,100,76,66.5,24,75.7,2314,18,12.967,27,22.9
567.3,86,620,67.5,100,76,62.7,24,72.1,2316,16,12.96,27,20.8
570.4,86,620,67.5,100,76,61.2,24,70.3,2300,15.3,12.886,27,19.6
573.5,86,620,67.1,100,76,61.2,24,70.4,2291,15.3,13.001,27,20
576.6,86,620,67.5,100,74,61.7,24,71.1,2257,15.7,12.965,27,20
579.7,86,620,67.5,100,72,63.2,24,73.3,2212,17.3,13.04,27,22
582.8,86,620,67.5,101,71,71.6,24,81.8,2334,22.4,13.04,27,26.7
585.9,86,624,67.5,101,70,73.5,24,82.4,2436,23.1,12.916,27,28.3
589,86,627,67.5,101,69,74.1,24,83.9,2528,25.6,13.033,27,30.5
592.1,86,632,67.5,101,68,74.4,24,83.1,2618,26.9,12.96,27,31.8
595.2,86,635.5,67.5,101,69,73.7,24,82.4,2625,27.1,12.901,27,32.5
598.3,86,638,67.5,101,70,73.3,24,81.6,2640,27.1,12.887,27,32.5
601.4,86,640,67.1,101,73,72.7,24,81.5,2631,26,12.929,27,31.7
604.5,86,640,67.1,101,76,71.9,24,81.7,2640,25.1,12.958,27,30.8
607.6,86,644,67,101,78,72.2,24,80.8,2747,25.6,12.96,27,31.2
610.7,86,644,66.7,101,81,71.4,24,79.8,2713,25,12.96,27,31.3
613.8,86,648,66.6,101,82,71.9,24,80.7,2563,22.9,12.96,27,28
616.9,86,648,66.3,101,82,60.9,24,70.1,2522,12.7,12.96,27,18.1
620,86,644,65.9,101,81,53.8,24,61.7,2452,9,12.96,27,15.6
623.1,86,640.6,65.9,101,79,48,24,53.8,2389,11,12.96,27,15
626.2,86,640,65.9,101,78,65.9,24,74.7,2375,17.2,12.96,27,22.4
629.3,86,640,66.3,101,77,65.9,24,74.8,2362,17.5,12.929,27,22.3
632.4,86,640,66.3,101,78,56,24,66.7,2372,15.7,12.953,27,18.4
635.5,86,636,65.9,101,78,50.7,24,56.3,2358,11.3,12.997,27,16.7
638.6,86,633.6,65.9,101,78,40.2,24,48.1,2359,11.4,13.04,27,15.2
641.7,86,631.1,65.9,101,77,39.9,24,34.8,2315,3.4,12.96,27,10.4
644.8,86,624.6,65.9,101,75,16.5,24,19.2,2232,1.4,13.025,27,5.2
647.9,86,612.2,65.9,101,73,11.6,24,12.9,2213,1.3,12.96,27,7.1
651,86,600.7,65.9,101,71,27.1,24,27.9,2175,3,12.816,27,9.3
654.1,86,600,65.9,101,71,42.2,24,49.1,2213,9.2,12.936,28,13.6
657.2,86,600,65.9,101,71,46.3,24,53.6,2233,10.1,12.96,28,14
660.3,86,597.2,66.3,101,71,13.1,24,17.1,2119,3.3,12.96,28,8
663.4,86,592,66.3,101,70,30,24,32.8,2131,4.7,12.938,28,9
666.5,86,588,66.7,101,69,46.7,24,57.4,2222,10.6,12.916,28,14.4
669.6,86,591.5,66.7,101,67,60.4,24,68.2,2064,14.6,12.978,28,18.5
672.7,86,592,66.6,101,67,65.9,24,75.8,2088,17.1,12.977,28,21.8
675.8,86,596.4,66.3,101,67,70.6,24,80,2242,20.7,12.921,28,26.4
678.9,86,600,66,101,69,72.9,24,83,2437,23.1,12.881,28,28.1
682,86,604.8,65.9,101,70,72.9,24,83,2465,23.1,12.96,28,28.2
685.1,86,611.3,66.2,101,72,72.9,24,83.1,2475,23.5,13.02,28,28.6
688.2,86,616,65.9,101,72,72.9,24,82.7,2497,23.5,12.96,28,28.8
691.3,86,618.7,66.1,101,73,73.7,24,83,2515,23.9,12.96,28,29
694.4,86,624,66.3,101,73,72.4,24,82.2,2480,23.4,13.014,28,28.2
697.5,86,624,65.9,101,75,70.5,24,78.7,2277,21.6,12.96,28,26.3
700.6,86,628,65.9,101,75,69,24,78.1,2295,20.8,12.96,28,25.3
703.7,87,628,65.9,100,75,54.9,24,70.2,2305,18.9,13.028,28,21.4
706.8,87,624.3,65.9,101,74,33.9,24,38.5,2231,6.6,13.02,28,11.2
709.9,87,620,65.9,101,73,35.8,24,45.5,2198,8.6,13.047,28,8.3
713,87,611.3,65.5,101,70,10.9,24,14.5,2068,1.2,12.993,28,4.6
716.1,87,595.7,65.9,101,65,13.3,24,15,1961,0.4,12.966,28,4
719.2,87,592,65.9,101,65,46.7,24,53.4,2011,11.9,12.96,28,16
722.3,86,592,65.9,101,66,64.9,24,73.2,2090,16.5,12.96,28,19.9
725.4,86,593.2,65.9,101,67,69.2,24,77.5,2167,18.4,12.96,28,23.1
728.5,86,599.7,65.9,100,69,72,24,81.9,2371,22.4,12.96,28,26.8
731.6,86,601.9,65.9,101,70,72.4,24,82.3,2450,22.4,12.96,28,27.5
734.7,86,608.3,65.9,101,72,72.4,24,80.9,2427,21.9,12.96,28,27.1
737.8,86,612,65.9,101,74,65.6,24,76.8,2265,19.2,12.89,28,20
740.9,86,610.8,65.9,100,75,62.3,24,75.7,2298,18.9,12.985,28,15.1
744,86,604.7,65.9,101,74,40.5,24,45.8,2226,12.3,12.96,28,15.8
747.1,86,608,65.5,101,73,62.2,24,69.4,2238,15.4,13.021,29,20.6
750.2,86,607.8,65.5,101,72,22.1,24,35,2173,10.4,12.929,29,8.4
753.3,86,600,65.5,101,70,55.1,24,63.3,2207,11.1,13.022,29,15.1
756.4,86,600.6,65.5,100,68,66.8,24,75.7,2196,19.9,13.003,29,23.8
759.5,86,604,65.5,100,70,71.2,24,81.1,2364,21.6,12.96,29,26.6
762.6,86,608.7,65.9,100,70,72.9,24,83.1,2454,22.7,12.96,28,27.8
765.7,86,615.1,65.9,100,71,73.3,24,82.9,2526,24.8,12.895,28,30.1
768.8,86,617.3,65.9,100,71,72.2,24,82.1,2597,25.1,13.015,28,30.2
771.9,86,620,65.9,100,72,72.4,24,82.2,2450,22.6,13.018,28,27.5
775,86,624,65.9,100,74,70.8,24,82,2437,22,12.887,28,26.9
778.1,86,627.9,65.9,100,76,67,24,71,2384,16.8,12.96,28,22.1
781.2,87,624,65.9,101,77,38,24,46.8,2351,9.9,12.96,28,12.8
784.3,87,620.4,65.9,101,80,38.1,24,36.6,2406,6.3,12.984,28,11.1
787.4,87,608.9,65.9,101,79,11.1,24,13,2352,0.4,12.98,28,5.1
790.5,87,599.6,66.3,101,76,31.1,24,33.8,2284,4.3,12.96,28,9.9
793.6,86,596,66.3,101,73,47.1,24,50.3,2292,8.6,12.96,29,14
796.7,86,596.9,66.3,101,72,60.4,24,69,2194,14.9,12.96,29,19.2
799.8,86,600,66.3,101,72,60.7,24,69.9,2178,15,12.96,29,19.9
802.9,86,600,66.3,101,72,61.2,24,68.8,2195,15.5,12.96,29,20.1
806,86,602,65.9,101,73,63.1,24,70.8,2250,16.4,13.028,29,21.2
809.1,86,604,65.9,101,74,61.1,24,69,2282,16,12.914,29,19.9
812.2,86,604,66.1,101,75,41.8,24,47.6,2304,9.4,12.96,29,15.1
815.3,86,603.4,66.3,101,75,43.7,24,50,2346,9.2,12.998,29,14.1
818.4,86,600,66.3,101,75,44.3,24,51.7,2284,9.8,12.962,29,14.1
821.5,86,600,66.4,101,74,50.3,24,56,2255,10.8,12.989,29,16.1
824.6,86,600,66.7,101,73,62,24,67,2245,16.1,13.04,29,20.4
827.7,86,604,67.1,101,73,62.7,24,70.6,2226,16.1,12.981,29,20.8
830.8,86,604,66.8,101,73,62.2,24,72.4,2237,16.6,12.983,29,21.2
833.9,86,604,66.7,101,74,62.5,24,71.5,2259,15.5,13.04,29,20.4
837,86,604,66.7,101,75,48.6,24,57.1,2262,6.3,13.015,29,13
840.1,86,604,66.7,101,75,54.1,24,60.9,2262,12.2,12.96,29,17
843.2,86,604,66.7,101,75,56.6,24,65,2300,13.2,12.96,29,17.9
846.3,86,604,66.7,101,75,56.3,24,64.6,2296,14.1,13.033,29,18.8
849.4,86,604,66.7,101,75,52.5,24,46.1,2233,5.7,12.96,29,14.4
852.5,86,601.7,66.5,101,73,39.7,24,49.3,2225,10.8,13.033,29,14
855.6,86,600,66.3,101,72,48.8,24,55.8,2200,10.6,12.88,29,15
858.7,86,600,66.3,101,71,55.6,24,62.4,2187,12.6,12.97,29,17.9
861.8,86,600,66.2,101,71,46.3,24,54.8,2166,10.5,12.986,29,14.9
864.9,86,600,65.9,101,72,55.4,24,61.9,2224,12.1,12.98,29,17.2
868,86,600,65.9,101,74,57.3,24,65.9,2252,14,12.976,29,17.7
871.1,86,600,65.9,101,75,60,24,68.2,2306,14.9,12.96,29,19.4
874.2,86,602.4,65.9,101,76,49.8,24,46.2,2302,9.1,12.96,29,12.1
877.3,86,589,66.2,101,74,11,24,12.4,2217,0.3,12.847,29,4.7
880.4,86,581.9,66.3,101,72,19,24,21.1,2168,3.6,12.96,29,7.9
883.5,86,580,66.3,101,72,38.5,24,43.1,2264,7.8,12.927,29,12.4
886.6,86,580,66.3,101,72,46.3,24,52.8,2281,10.2,12.957,29,15.1
889.7,86,580,66.3,101,73,31,24,34.8,2206,7.6,12.96,29,13.9
892.8,86,580,66.1,101,72,48.6,24,57.3,2214,10.9,12.96,29,13.8
895.9,86,580,65.9,101,72,50.2,24,57.3,2225,11.4,12.96,29,15.9
899,86,580,66.1,101,72,53.4,24,61.1,2225,12.3,12.951,29,16.5
902.1,86,584,65.9,101,72,52.5,24,59.5,2216,11.4,12.959,29,15.8
905.2,86,584,65.9,101,72,49.2,24,56.4,2223,11.4,13.04,29,15.6
908.3,86,580,65.9,101,72,28.5,24,32.7,2179,4.7,12.997,29,9
911.4,86,580,65.9,101,72,42.9,24,46.5,2180,10.3,12.961,29,14.1
914.5,86,580.7,65.9,101,72,57.1,24,64.2,2218,13.5,13.001,29,18.4
917.6,86,584,65.5,101,71,61.4,24,68.8,2202,14.7,13.037,29,19.8
920.7,86,584.3,65.9,101,69,63.4,24,73,2143,16.3,12.96,29,20.5
923.8,86,588,65.9,101,67,65.1,24,74,2109,16.9,12.96,29,21.4
926.9,86,592,65.5,101,66,65.8,24,74.3,2087,17.3,12.96,28,21.8
930,86,592,65.7,101,67,66.3,24,75.2,2078,17.9,12.96,28,22.1
933.1,86,596,65.8,101,69,66.6,24,74.5,2099,17.5,12.96,28,22
936.2,86,596.1,65.5,101,72,65.3,24,74.6,2185,17.1,12.96,28,21.8
939.3,86,600,65.5,101,73,50.8,24,55.5,2218,9.7,13.04,28,16.6
942.4,86,600,65.6,101,71,59.4,24,67.8,2169,14.4,12.96,28,19.3
945.5,86,600,65.9,100,70,67.1,24,76.3,2143,18.6,13.027,28,22.4
948.6,86,604,65.9,100,70,69.1,24,79.5,2252,20.4,13.017,28,25.5
951.7,86,604,65.9,100,72,71.4,24,81.3,2413,22,12.96,28,27.4
954.8,86,609.8,65.9,100,74,69.9,24,80.3,2455,22,13.024,28,26.7
957.9,86,612,65.9,101,78,64.9,24,73.5,2392,17.4,12.989,28,22.4
961,86,613.8,65.9,101,80,50.8,24,61.8,2446,14.4,12.971,28,18.7
964.1,86,612.6,65.9,101,79,25.3,24,27.9,2359,3.5,12.96,28,9.4
967.2,86,608,66.3,101,77,37.3,24,41.7,2283,9.3,12.96,28,13.3
970.3,86,608,66.3,101,75,47.7,24,54.1,2245,10.8,12.96,28,15.6
973.4,86,608,66.3,101,73,58.7,24,67.5,2207,14.5,12.96,28,18.8
976.5,86,608,66.3,101,70,65.8,24,73.5,2181,16.3,12.96,28,19.8
979.6,86,609.4,66.2,100,69,69,24,79.2,2224,20,12.96,28,24.6
982.7,86,612,65.9,100,68,69.5,24,79.9,2256,20.9,13.04,28,25.3
985.8,86,613.9,65.9,100,67,68.4,24,79,2237,19.8,12.975,28,23.5
