VDA Data Log,,,,,,,,,
Jul-17, 2018 8:15:00 AM,,,,,,,,
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
80.6,100,25,64,18,19,49,212.2,1442,48.2
81.9,100,26,62.1,18,19,49,219.9,1430,48.2
83.2,100,27,44.8,18,19,50,227.5,1318,48.2
84.5,99,27,39.2,18,19,50,233.4,1267,48.2
85.8,99,27,38.4,18,19,50,237.6,1228,48.2
87.1,99,27,34,18,19,51,244,1111,48.2
88.4,100,27,28,18,19,51,244,1257,48.2
89.7,101,27,23.2,18,19,51,243.7,1226,48.2
91,102,25,20.4,18,19,52,239.9,1213,48.5
92.3,102,24,20.4,18,19,52,240,1212,48.6
93.6,102,23,21.6,18,19,52,239.6,1252,48.6
94.9,102,22,24,18,19,52,240,1246,48.6
96.2,102,22,20.4,18,19,52,240,1210,48.8
97.5,102,20,21.1,18,19,52,237.7,1168,49
98.8,102,19,26,18,19,52,236,1174,48.8
100.1,102,20,56,18,19,53,237.9,1270,48.6
101.4,102,21,65,18,19,53,243.7,1380,48.6
102.7,102,23,34.7,18,19,53,249.9,1363,48.6
104,102,24,23.1,18,19,53,252,1296,48.6
105.3,102,24,21.1,18,19,53,250,1221,48.6
106.6,102,23,20.8,18,19,53,244,1204,48.6
107.9,102,23,33.3,18,19,53,244.2,1249,48.6
109.2,102,24,54.7,18,19,53,251.9,1330,48.3
110.5,102,26,56.5,18,19,53,255.5,1295,48.2
111.8,102,28,56.2,18,19,53,263,1284,48
113.1,101,29,54.9,18,19,54,269.3,1294,47.8
114.4,101,30,54.2,18,19,54,275.9,1287,47.8
115.7,101,31,47,18,19,54,281.4,1234,47.8
117,101,31,40.6,18,19,54,284.9,1127,47.5
118.3,101,32,38.6,18,19,54,288.5,1052,47.5
119.6,101,32,39.2,18,19,54,292.1,1100,47.5
120.9,101,32,37.8,18,19,55,295.9,1145,47.5
122.2,102,33,39.6,18,19,55,296,1194,47.5
123.5,101,34,44.2,18,19,55,303.2,1251,47.5
124.8,100,34,44.9,18,19,55,307.5,1293,47.2
126.1,100,35,36.9,18,19,55,308,1178,47.1
127.4,100,35,33,18,19,56,311,1093,47.3
128.7,100,35,35.6,18,19,56,312,1082,47.5
130,99,35,43.1,18,19,56,314.5,1117,47.5
131.3,99,35,46.7,18,19,56,318.1,1164,47.5
132.6,99,35,46.4,18,19,56,321.7,1206,47.4
133.9,99,35,49.8,18,19,56,325.4,1262,47.1
135.2,99,36,49.9,18,19,57,330.7,1300,47.1
136.5,99,36,43.2,18,19,57,336,1290,47.1
137.8,100,36,35.1,18,19,57,335.8,1149,47.1
139.1,100,36,29.1,18,19,57,339.3,1116,47.1
140.4,100,35,29.8,18,19,58,340,1086,47.3
141.7,100,35,25.2,18,19,58,340,1109,47.5
143,101,34,25,18,19,58,340,1109,47.5
144.3,101,34,21.6,18,19,58,338.3,1103,47.6
145.6,102,29,19.9,18,19,58,334.7,1210,47.8
146.9,102,24,19.6,18,19,58,332,1194,47.8
148.2,102,21,20.1,18,19,58,330.9,1156,48.2
149.5,102,17,20.9,18,19,58,326.6,1113,48.2
150.8,102,14,21.7,18,19,58,322.8,1065,48.2
152.1,102,11,22.7,18,19,59,319.4,1006,48.6
153.4,102,9,23.8,18,19,59,315.8,712,48.9
154.7,102,6,24.3,18,19,59,312.2,990,49
156,102,4,26.1,18,19,59,312,925,49.3
157.3,102,2,30.9,18,19,59,309.2,782,49.4
158.6,102,0,32.2,18,19,59,308,693,49.4
159.9,102,0,31.9,18,19,59,305,675,49.4
161.2,102,0,30.5,18,19,59,301.2,675,49.4
162.5,102,0,30.9,18,19,59,297.5,743,49.4
163.8,102,0,43.1,18,19,59,296,1188,49.2
165.1,102,5,48.3,18,19,59,298,1652,48.9
166.4,102,10,57.5,18,19,59,302,1644,48.5
167.7,102,14,60.6,18,19,59,307.3,1531,48.2
169,102,17,64.2,18,19,59,313,1432,48.2
170.3,102,19,65.1,18,19,59,316.7,1462,47.8
171.6,102,21,64,18,19,59,320.6,1462,47.8
172.9,102,22,62.8,18,19,60,327.7,1366,47.8
174.2,102,23,59.7,18,19,60,331,1352,47.7
175.5,101,25,60.2,18,19,60,336.9,1320,47.5
176.8,100,26,54.9,18,19,61,341.9,1260,47.5
178.1,100,27,41.8,18,19,61,345.7,1194,47.5
179.4,99,27,38.1,18,19,61,348,1112,47.5
180.7,99,27,38.3,18,19,61,349.7,1125,47.5
182,99,27,41.2,18,19,62,352,1154,47.5
183.3,99,27,43.8,18,19,62,353.5,1184,47.5
184.6,99,28,44.2,18,19,62,357,1230,47.5
185.9,99,29,41,18,19,62,360.7,1193,47.5
187.2,99,29,37.1,18,19,62,364,1138,47.5
188.5,99,29,37.7,18,19,62,364.2,1162,47.5
189.8,99,29,41.3,18,19,62,367.9,1207,47.5
191.1,99,30,40.8,18,19,63,371.9,1212,47.5
192.4,100,30,34.9,18,19,63,375.9,1190,47.2
193.7,101,29,18.8,18,19,63,376,1216,47.4
195,101,28,18.8,18,19,63,370.1,1225,47.5
196.3,102,27,18.8,18,19,63,365.3,1225,47.6
197.6,102,25,18.8,18,19,63,362.1,1220,47.9
198.9,102,23,19.4,18,19,63,358.6,1207,48.2
200.2,102,21,19.6,18,19,63,354.6,1180,48.3
201.5,102,19,19.6,18,19,63,350.9,1155,48.6
202.8,102,17,20.1,18,19,63,347.2,1122,48.6
204.1,102,15,20.8,18,19,63,343.6,1099,49
205.4,102,13,21.2,18,19,63,339.9,1075,49
206.7,102,12,20.7,18,19,63,336.5,1034,49.3
208,102,11,18.8,18,19,63,336,1195,49.4
209.3,102,10,19,18,19,63,332.5,1167,49.4
210.6,102,8,20.6,18,19,63,332,1110,49.4
211.9,102,7,23.9,18,19,63,332,947,49.6
213.2,102,5,26.1,18,19,63,329.1,860,49.8
214.5,102,3,28.1,18,19,63,324.9,732,49.8
215.8,102,0,32.9,18,19,63,321.3,682,50
217.1,102,0,32.9,18,19,63,320,681,50.1
218.4,102,0,31.5,18,19,63,317.8,670,49.8
219.7,101,0,30.7,18,19,63,314.2,659,49.8
221,101,0,29.4,18,19,63,310.4,653,49.8
222.3,101,0,28.4,18,19,63,306.4,659,49.8
223.6,101,0,28.2,18,19,63,304,650,49.8
224.9,101,0,27.8,18,19,64,302.9,648,49.4
226.2,101,0,27,18,19,64,298.8,637,49.4
227.5,101,0,26.2,18,19,64,296,637,49.4
228.8,101,0,25.9,18,19,64,295.2,637,49.4
230.1,101,0,25.5,18,19,65,292,637,49.4
231.4,101,0,24.7,18,19,65,291.9,637,49
232.7,101,0,24.3,18,19,65,288,613,49
234,101,0,24.1,18,19,65,287.9,612,48.9
235.3,101,0,23.5,18,19,65,282.6,612,48.6
236.6,81,0,23.5,18,19,65,283.5,611,48.6
237.9,101,0,23,18,19,65,280,601,48.6
239.2,101,0,23.2,18,19,65,279,611,48.6
240.5,101,0,29.4,18,19,65,276,677,48.6
241.8,102,2,40.8,18,19,65,276.9,1460,48.2
243.1,101,6,49.1,18,19,65,280.4,1725,47.9
244.4,100,11,52.7,18,19,65,284.4,1571,47.8
245.7,100,14,56.5,18,19,65,288.4,1448,47.5
247,100,16,58.2,18,19,65,292.1,1375,47.1
248.3,100,18,55.9,18,19,65,296.4,1285,47.1
249.6,100,19,53.8,18,19,66,300.5,1237,47.1
250.9,99,21,47.6,18,19,66,304,1222,46.7
252.2,99,21,35.6,18,19,66,304,1137,46.7
253.5,100,21,26,18,19,67,303.8,1127,46.7
254.8,101,19,19,18,19,67,304,1114,47
256.1,102,17,19.6,18,19,67,300.7,1093,47.1
257.4,102,16,19.6,18,19,67,297.2,1072,47.3
258.7,102,12,20.4,18,19,67,293.6,1040,47.6
260,102,10,21.1,18,19,67,289.9,929,47.8
261.3,102,8,21.2,18,19,67,288,852,47.8
262.6,102,6,22.4,18,19,67,288,949,47.9
263.9,102,4,24.5,18,19,67,286.7,847,48.2
265.2,102,3,28.5,18,19,67,284,781,48.2
266.5,102,2,31,18,19,67,283.5,673,48.2
267.8,102,0,30.9,18,19,67,279.2,626,48.2
269.1,102,0,31.1,18,19,67,276,652,48.2
270.4,102,0,30.5,18,19,67,275.3,751,47.8
271.7,101,0,29.1,18,19,68,272,661,47.8
273,101,0,28.2,18,19,68,271.9,637,47.8
274.3,101,0,28.1,18,19,68,267.9,648,47.8
275.6,101,0,27.3,18,19,68,268,633,47.8
276.9,101,0,25.9,18,19,68,265,617,47.8
278.2,101,0,25.9,18,19,68,261.1,620,47.8
279.5,101,0,25.1,18,19,68,260,625,47.7
280.8,101,0,25.1,18,19,68,257.9,619,47.5
282.1,101,0,24.4,18,19,68,256,618,47.5
283.4,101,0,24.3,18,19,68,256,625,47.5
284.7,101,0,24.3,18,19,68,254.1,625,47.5
286,101,0,23.7,18,19,68,252,625,47.5
287.3,101,0,23.5,18,19,69,250.6,622,47.5
288.6,101,0,23.5,18,19,69,246.7,612,47.5
289.9,101,0,23.5,18,19,69,244,614,47.5
291.2,101,0,23.5,18,19,69,243.3,624,47.5
292.5,101,0,23.5,18,20,69,240,612,47.1
293.8,101,0,23.1,18,20,69,240,612,47.1
295.1,101,0,22.7,18,20,69,239.6,625,47.1
296.4,101,0,23.8,18,20,69,236,612,47.1
297.7,101,0,28.2,18,20,69,236,969,46.8
299,100,2,34.9,18,20,69,236,1228,46.7
300.3,99,4,37,18,20,69,236,1586,46.4
301.6,99,7,42.1,18,20,69,243.1,1511,46.3
302.9,99,9,48,18,20,69,244,1402,46.1
304.2,99,12,51,18,20,69,248.4,1362,45.8
305.5,99,12,55.9,18,20,69,254.1,1372,45.5
306.8,99,17,56.5,18,20,69,258.1,1392,45.4
308.1,99,20,55.8,18,19,69,263.9,1371,45.1
309.4,100,21,39.1,18,20,70,268,1258,45.1
310.7,101,21,23.3,18,19,70,268,1162,45.1
312,102,20,18,18,19,70,268,1143,45.2
313.3,101,19,22.9,18,19,70,268,1093,45.5
314.6,100,19,21.4,18,20,70,268,1107,45.5
315.9,101,19,17.6,18,20,70,266.8,1183,45.5
317.2,102,17,20,18,19,71,264,1163,45.5
318.5,102,16,32.4,18,20,71,264.4,1175,45.5
319.8,101,17,44.3,18,20,71,268.2,1272,45.5
321.1,101,19,46.2,18,19,71,272.4,1311,45.5
322.4,101,21,48.2,18,19,71,276,1301,45.5
323.7,102,23,48.3,18,19,71,280.1,1288,45.5
325,101,25,44.1,18,19,71,283.8,1231,45.5
326.3,101,26,35,18,19,71,286.8,1142,45.5
327.6,102,26,18.6,18,19,71,288,1146,45.5
328.9,102,26,16.5,18,19,71,285.5,1200,45.7
330.2,101,26,17.3,18,19,71,284,1152,45.9
331.5,101,26,20.3,18,19,72,284,1077,45.9
332.8,102,26,22.9,18,19,72,285.7,1058,45.8
334.1,102,26,24.1,18,19,72,288,1082,45.5
335.4,102,26,24.7,18,19,72,288,1136,45.1
336.7,102,26,25.1,18,19,72,288,1112,44.7
338,102,26,26.1,18,19,72,288,1112,44.7
339.3,102,26,29.4,18,19,72,288.2,1124,44.3
340.6,102,26,33.2,18,19,72,292,1173,44.3
341.9,102,26,33.4,18,19,72,292.1,1163,43.9
343.2,102,26,33.2,18,19,72,296.1,1174,43.9
344.5,102,27,34.6,18,19,72,299.9,1186,43.9
345.8,101,27,37.1,18,19,72,300,1207,44.2
347.1,100,28,38.2,18,19,72,302.8,1212,44.3
348.4,99,29,40.8,18,19,72,306.2,1195,44.3
349.7,99,29,29.6,18,19,73,308,1123,44.4
351,100,29,31.1,18,19,73,310.3,1074,44.7
352.3,100,29,32.1,18,19,73,312,1133,44.7
353.6,100,29,19.2,18,19,73,312,1198,44.8
354.9,101,29,16.5,18,19,73,312,1218,45.1
356.2,102,27,16.5,18,19,73,310.1,1225,45.2
357.5,102,26,16.5,18,19,73,306.4,1225,45.5
358.8,102,25,18.2,18,19,74,304,1205,45.5
360.1,101,25,25,18,19,74,304,1147,45.5
361.4,101,25,23,18,19,74,304,1127,45.5
362.7,101,25,24.8,18,19,74,304,1103,45.5
364,100,25,27.5,18,19,74,304,1107,45.5
365.3,100,25,22.3,18,19,74,304,1078,45.5
366.6,101,24,16.5,18,19,74,304,1225,45.9
367.9,102,23,16.5,18,19,74,303.9,1212,45.9
369.2,102,22,16.5,18,19,74,299.9,1191,46.2
370.5,102,21,16.5,18,19,74,296.1,1187,46.6
371.8,102,19,16.7,18,19,74,296,1167,46.4
373.1,102,18,17.4,18,19,74,292.5,1122,46.6
374.4,102,14,18.1,18,19,74,288.5,1075,46.7
375.7,102,11,18.9,18,19,74,288,1037,46.9
377,102,8,19.5,18,19,74,284.8,1127,47.1
378.3,102,7,18.9,18,19,74,284,1016,47.3
379.6,102,5,22.7,18,19,74,281.6,851,47.5
380.9,102,5,22.7,18,19,74,280,842,47.5
382.2,102,4,24,18,19,74,278.8,802,47.6
383.5,102,2,27.6,18,19,73,275.3,650,47.8
384.8,102,1,28.8,18,19,73,272,654,47.8
386.1,102,0,25.5,18,19,73,272,737,47.8
387.4,102,0,20.2,18,19,73,271.9,880,47.8
388.7,102,0,31.6,18,19,73,267.9,413,47.8
390,102,0,62.4,16,19,73,268,74,47.8
391.3,102,0,0,3,20,73,264.8,0,47.8
392.6,102,0,0,3,20,73,264,0,47.8
393.9,102,0,0,3,20,73,264,0,47.8
395.2,102,0,0,3,20,73,263.7,2,47.8
396.5,102,0,0.1,3,20,73,264,0,47.8
397.8,102,0,0,3,20,73,263.3,3,47.8
399.1,102,0,3,20,73,264,0,47.8,
400.4,102,0,47.8,,,,,,
